,,,Not attended in past 2 weeks,,,,,,,,,,,,
Home AO or Visitor,Name,BD Count ,First BD,Last BD,Consistency,Listing,Cindy,Mug,Shirt,Cindy,,Mug,,Shirt,
,Slater,9,7/2/2024,7/3/2025,3%,1,,,,,,,,,
,Quarter,9,7/25/2024,8/28/2025,3%,1,,,,,,,,,
,Latex,9,8/13/2024,1/31/2026,3%,1,,,,,,,,,
,Drop Zone,9,7/27/2024,6/28/2025,3%,1,,,,,,,,,
,Bob Barker,9,6/18/2024,4/11/2025,3%,1,,,,,,,,,
,Torch,8,7/27/2024,10/25/2025,2%,1,,,,,,,,,
,Quikrete,8,9/17/2024,12/13/2025,3%,1,,,,,,,,,
,Forrest,8,6/27/2024,2/26/2026,2%,1,,,,,,,,,
,Bubbles,8,7/4/2024,10/25/2025,2%,1,,,,,,,,,
,Joints,7,7/4/2024,1/31/2026,2%,1,,,,,,,,,
,Fortune Cookie,7,7/4/2024,1/31/2026,2%,1,,,,,,,,,
,Drill Bit,7,9/3/2024,6/26/2025,2%,1,,,,,,,,,
,Uncle Sam,6,6/20/2024,8/8/2025,2%,1,,,,,,,,,
,Timber,6,7/11/2024,11/11/2025,2%,1,,,,,,,,,
,Mr. Clean,6,7/18/2024,10/25/2025,2%,1,,,,,,,,,
,Frolf,6,7/18/2024,3/6/2025,2%,1,,,,,,,,,
,Bunny Slope,6,6/11/2024,2/8/2025,2%,1,,,,,,,,,
,Bigmouth,6,7/4/2024,4/3/2025,2%,1,,,,,,,,,
,Wahoo!,5,7/23/2024,11/30/2024,2%,1,,,,,,,,,
,SuperTrooper,5,7/13/2024,12/4/2025,2%,1,,,,,,,,,
,Scratch,5,9/27/2024,10/25/2025,2%,1,,,,,,,,,
,PPE,5,10/26/2024,10/25/2025,2%,1,,,,,,,,,
,Open Hole,5,11/28/2024,1/14/2026,2%,1,,,,,,,,,
,Gracie,5,10/26/2024,10/25/2025,2%,1,,,,,,,,,
,Fuego,5,9/13/2024,5/30/2025,2%,1,,,,,,,,,
,Canuck,5,11/28/2024,8/14/2025,2%,1,,,,,,,,,
,Sunflower,4,8/5/2025,1/31/2026,4%,1,,,,,,,,,
,Sam's Club,4,9/17/2024,5/20/2025,1%,1,,,,,,,,,
,Ron Burgundy,4,7/25/2025,2/12/2026,3%,1,,,,,,,,,
,Nikon,4,11/21/2025,2/26/2026,7%,1,,,,,,,,,
,Electro,4,7/4/2024,1/14/2026,1%,1,,,,,,,,,
,Double D,4,10/26/2024,12/21/2024,1%,1,,,,,,,,,
,Dirty Bird,4,10/26/2024,10/25/2025,1%,1,,,,,,,,,
,Weak Sauce,3,8/8/2024,11/14/2024,1%,1,,,,,,,,,
,Visor,3,8/15/2024,12/19/2024,1%,1,,,,,,,,,
,Squid,3,8/31/2024,1/16/2025,1%,1,,,,,,,,,
,Shutters,3,7/4/2024,1/31/2026,1%,1,,,,,,,,,
,Romulus,3,10/26/2024,10/25/2025,1%,1,,,,,,,,,
,Pastrana,3,6/25/2024,10/26/2024,1%,1,,,,,,,,,
,Okie,3,10/25/2025,1/31/2026,4%,1,,,,,,,,,
,Nasdaq,3,7/4/2024,12/21/2024,1%,1,,,,,,,,,
,Muppet,3,10/26/2024,1/22/2026,1%,1,,,,,,,,,
,Magellan,3,7/20/2024,10/26/2024,1%,1,,,,,,,,,
,Linguini,3,11/28/2024,12/12/2025,1%,1,,,,,,,,,
,Kitt,3,11/28/2024,3/1/2025,1%,1,,,,,,,,,
,Hook,3,6/27/2024,12/26/2024,1%,1,,,,,,,,,
,Heimlich,3,7/27/2024,1/30/2025,1%,1,,,,,,,,,
,Escobar,3,11/28/2024,10/25/2025,1%,1,,,,,,,,,
,Einstein,3,10/26/2024,10/25/2025,1%,1,,,,,,,,,
,Dozer,3,10/26/2024,12/12/2025,1%,1,,,,,,,,,
,Conductor,3,10/26/2024,12/13/2025,1%,1,,,,,,,,,
,Wishbone,2,10/25/2025,12/12/2025,3%,1,,,,,,,,,
,Thinmint,2,7/9/2024,10/26/2024,1%,1,,,,,,,,,
,Teller,2,10/26/2024,12/31/2024,1%,1,,,,,,,,,
,Sriracha,2,10/25/2025,12/12/2025,3%,1,,,,,,,,,
,Skillet,2,8/9/2025,10/25/2025,2%,1,,,,,,,,,
,Schweddy,2,3/21/2025,10/25/2025,1%,1,,,,,,,,,
,Rosetta Stone,2,10/26/2024,10/25/2025,1%,1,,,,,,,,,
,Red Corvette,2,2/4/2025,4/1/2025,1%,1,,,,,,,,,
,Quesadilla,2,10/25/2025,2/26/2026,3%,1,,,,,,,,,
,Paper Jam,2,8/31/2024,10/26/2024,1%,1,,,,,,,,,
,Overtime,2,11/14/2024,2/11/2025,1%,1,,,,,,,,,
,Noah,2,8/14/2025,10/25/2025,2%,1,,,,,,,,,
,NerfGun,2,8/9/2025,1/22/2026,2%,1,,,,,,,,,
,Murtaugh,2,10/26/2024,1/10/2026,1%,1,,,,,,,,,
,Mr. Bean,2,6/10/2025,6/12/2025,1%,1,,,,,,,,,
,ManCity,2,10/25/2025,12/12/2025,3%,1,,,,,,,,,
,"Lobotomy, MD",2,11/28/2024,12/21/2024,1%,1,,,,,,,,,
,Lobotomy,2,10/25/2025,1/14/2026,3%,1,,,,,,,,,
,Legolas,2,9/14/2024,10/26/2024,1%,1,,,,,,,,,
,Kryptonite,2,6/17/2025,10/25/2025,1%,1,,,,,,,,,
,Karbach,2,6/27/2024,10/26/2024,1%,1,,,,,,,,,
,Hoover,2,10/8/2024,10/26/2024,1%,1,,,,,,,,,
,Hook & Ladder,2,2/19/2026,2/26/2026,33%,1,,,,,,,,,
,Hedwing,2,12/6/2025,12/13/2025,4%,1,,,,,,,,,
,Hang Loose,2,7/4/2024,11/28/2024,1%,1,,,,,,,,,
,Garden Snake,2,7/4/2024,12/21/2024,1%,1,,,,,,,,,
,Futon,2,10/26/2024,3/20/2025,1%,1,,,,,,,,,
,Counterfeit,2,10/26/2024,12/31/2024,1%,1,,,,,,,,,
,Check Engine,2,11/28/2024,12/12/2025,1%,1,,,,,,,,,
,Captain Jack,2,12/19/2024,8/9/2025,1%,1,,,,,,,,,
,Captain America,2,10/12/2024,10/26/2024,1%,1,,,,,,,,,
,Canadian Bacon,2,8/17/2024,10/26/2024,1%,1,,,,,,,,,
,Bondage,2,10/25/2025,12/12/2025,3%,1,,,,,,,,,
,Bogey,2,2/3/2026,2/13/2026,13%,1,,,,,,,,,
,Blinders,2,8/15/2024,10/26/2024,1%,1,,,,,,,,,
,Banana Pancakes,2,11/28/2024,1/14/2026,1%,1,,,,,,,,,
,Aquaman,2,8/9/2025,8/14/2025,2%,1,,,,,,,,,
,Admiral,2,3/20/2025,8/14/2025,1%,1,,,,,,,,,
,Wrigley,1,9/3/2024,9/3/2024,0%,1,,,,,,,,,
,Wiry,1,2/8/2025,2/8/2025,0%,1,,,,,,,,,
,Wirey,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Warlock,1,10/25/2025,10/25/2025,1%,1,,,,,,,,,
,WarEagle,1,7/3/2025,7/3/2025,1%,1,,,,,,,,,
,Wallaby,1,2/19/2026,2/19/2026,17%,1,,,,,,,,,
,Wahoo,1,12/12/2025,12/12/2025,2%,1,,,,,,,,,
,Waffle,1,11/28/2024,11/28/2024,0%,1,,,,,,,,,
,Valdez,1,8/26/2025,8/26/2025,1%,1,,,,,,,,,
,Urnj,1,2/26/2026,2/26/2026,50%,1,,,,,,,,,
,Twinkie,1,8/31/2024,8/31/2024,0%,1,,,,,,,,,
,Tripod,1,10/18/2025,10/18/2025,1%,1,,,,,,,,,
,TripleCrown,1,10/25/2025,10/25/2025,1%,1,,,,,,,,,
,Tricycle,1,11/4/2025,11/4/2025,2%,1,,,,,,,,,
,Transplant,1,8/17/2024,8/17/2024,0%,1,,,,,,,,,
,Training Wheels,1,11/14/2024,11/14/2024,0%,1,,,,,,,,,
,Toro,1,11/23/2024,11/23/2024,0%,1,,,,,,,,,
,Toretto,1,10/25/2025,10/25/2025,1%,1,,,,,,,,,
,Topo,1,5/28/2024,5/28/2024,0%,1,,,,,,,,,
,Toothless,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Tomahawk,1,12/5/2025,12/5/2025,2%,1,,,,,,,,,
,Tokyo Drift,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Toad,1,10/8/2024,10/8/2024,0%,1,,,,,,,,,
,TieDye,1,10/25/2025,10/25/2025,1%,1,,,,,,,,,
,Thunder Chicken,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,The Godfather,1,1/31/2026,1/31/2026,6%,1,,,,,,,,,
,The Closer,1,9/3/2024,9/3/2024,0%,1,,,,,,,,,
,Tesla,1,12/31/2024,12/31/2024,0%,1,,,,,,,,,
,Teleprompter,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,TailorMade,1,9/5/2024,9/5/2024,0%,1,,,,,,,,,
,Swanson,1,12/21/2024,12/21/2024,0%,1,,,,,,,,,
,Swamp Thing,1,6/6/2024,6/6/2024,0%,1,,,,,,,,,
,Striker,1,11/14/2024,11/14/2024,0%,1,,,,,,,,,
,Stirrups (DrG),1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Stilskin,1,12/9/2025,12/9/2025,2%,1,,,,,,,,,
,Space X,1,11/14/2024,11/14/2024,0%,1,,,,,,,,,
,Snucky,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Slushee,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Slots,1,8/26/2025,8/26/2025,1%,1,,,,,,,,,
,Sims,1,10/18/2025,10/18/2025,1%,1,,,,,,,,,
,Shank,1,7/4/2024,7/4/2024,0%,1,,,,,,,,,
,Seasplitter,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Sea Aggie,1,8/26/2025,8/26/2025,1%,1,,,,,,,,,
,Scubie,1,10/25/2025,10/25/2025,1%,1,,,,,,,,,
,Scrum,1,12/3/2024,12/3/2024,0%,1,,,,,,,,,
,Scribe,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Santeria,1,8/14/2025,8/14/2025,1%,1,,,,,,,,,
,Santa,1,8/14/2025,8/14/2025,1%,1,,,,,,,,,
,Samba,1,2/5/2026,2/5/2026,7%,1,,,,,,,,,
,Pump Jack,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,PT,1,10/25/2025,10/25/2025,1%,1,,,,,,,,,
,Pit Bull,1,9/3/2024,9/3/2024,0%,1,,,,,,,,,
,Pasty,1,2/19/2026,2/19/2026,17%,1,,,,,,,,,
,Parmesan,1,11/28/2024,11/28/2024,0%,1,,,,,,,,,
,Paperwork,1,11/28/2024,11/28/2024,0%,1,,,,,,,,,
,Panko,1,8/9/2025,8/9/2025,1%,1,,,,,,,,,
,P-Trap,1,1/31/2026,1/31/2026,6%,1,,,,,,,,,
,Overdraft,1,8/9/2025,8/9/2025,1%,1,,,,,,,,,
,Ostrich,1,7/25/2024,7/25/2024,0%,1,,,,,,,,,
,Orrah,1,10/25/2025,10/25/2025,1%,1,,,,,,,,,
,Orbit,1,8/17/2024,8/17/2024,0%,1,,,,,,,,,
,One Piece,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Old Crow,1,12/12/2025,12/12/2025,2%,1,,,,,,,,,
,No Regrets,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Niner,1,12/19/2024,12/19/2024,0%,1,,,,,,,,,
,Napoleon,1,10/11/2024,10/11/2024,0%,1,,,,,,,,,
,Muppey,1,2/26/2026,2/26/2026,50%,1,,,,,,,,,
,Mr. Wonderful,1,10/18/2025,10/18/2025,1%,1,,,,,,,,,
,MorningWood,1,9/17/2024,9/17/2024,0%,1,,,,,,,,,
,Money Ball,1,8/9/2025,8/9/2025,1%,1,,,,,,,,,
,Mogul,1,11/14/2024,11/14/2024,0%,1,,,,,,,,,
,Mind the Gap,1,8/26/2025,8/26/2025,1%,1,,,,,,,,,
,Mets,1,9/5/2024,9/5/2024,0%,1,,,,,,,,,
,Megatron,1,8/15/2024,8/15/2024,0%,1,,,,,,,,,
,Mario Kart,1,10/18/2025,10/18/2025,1%,1,,,,,,,,,
,Major Pain,1,2/26/2026,2/26/2026,50%,2,,,,,,,,,
,Lucky Charms,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,LoJack,1,1/14/2026,1/14/2026,4%,1,,,,,,,,,
,Latte,1,12/20/2024,12/20/2024,0%,1,,,,,,,,,
,Kumbayah,1,12/2/2025,12/2/2025,2%,1,,,,,,,,,
,King Tut,1,10/8/2024,10/8/2024,0%,1,,,,,,,,,
,Kickflip,1,11/14/2024,11/14/2024,0%,1,,,,,,,,,
,Jack Frost,1,10/18/2025,10/18/2025,1%,1,,,,,,,,,
,Inspecor G.,1,10/25/2025,10/25/2025,1%,1,,,,,,,,,
,InsideOut,1,10/25/2025,10/25/2025,1%,1,,,,,,,,,
,Hydra,1,2/10/2026,2/10/2026,9%,2,,,,,,,,,
,Harry Potter,1,8/9/2025,8/9/2025,1%,1,,,,,,,,,
,HardSac,1,5/29/2025,5/29/2025,1%,1,,,,,,,,,
,Hard Hat,1,8/15/2024,8/15/2024,0%,1,,,,,,,,,
,Hammer,1,3/11/2025,3/11/2025,1%,1,,,,,,,,,
,Hackman,1,11/5/2024,11/5/2024,0%,1,,,,,,,,,
,Gunboat,1,10/25/2025,10/25/2025,1%,1,,,,,,,,,
,Gumbo,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Godfather,1,6/29/2025,6/29/2025,1%,1,,,,,,,,,
,Glitch,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Glamp,1,11/14/2024,11/14/2024,0%,1,,,,,,,,,
,Gills,1,7/13/2024,7/13/2024,0%,1,,,,,,,,,
,Geisha,1,7/16/2024,7/16/2024,0%,1,,,,,,,,,
